X,Y,OBJECTID,Internal_ID,State_ID,Dam_Name,National_ID,Latitude,Longitude,County,Owner_Name,Owner_Type,Dam_Type,Year_Built,Dam_Height_feet,Dam_Length_feet,Capacity_acre_feet,Jurisdictional_Status,Downstream_Hazard,Condition_Assessment,Restricted,Date_Data_Applies,Data_Source,Record_Last_Edited,Record_Last_Edited_By,Comment_
-13165889.7595,4062945.7581,183,308,No. 32-25,Blanchard Debris Basin,CA01151,34.2539,-118.2712,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1966,49.7,925,26,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13166535.4126,4053670.1393,184,309,No. 32-26,Brand Debris Basin,CA01152,34.185,-118.277,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1965,45,400,42,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13172212.7066,4060791.0918,185,310,No. 32-27,La Tuna Debris Basin,CA01153,34.2379,-118.328,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1960,47,654,207,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13117777.4756,4049889.3702,186,311,No. 32-28,Little Dalton Debris Basin,CA01154,34.1569,-117.839,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1960,71,543,234,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13138360.4494,4051840.1437,187,312,No. 32-29,Santa Anita Debris Basin,CA01155,34.1714,-118.0239,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1960,56,955,116,Certified,Low,Fair,Yes,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13117298.8018,4049795.2034,188,313,No. 32-30,Big Dalton Debris Basin,CA01156,34.1562,-117.8347,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1960,59,840,208,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13134931.8091,4051423.0536,189,314,No. 32-31,Sawpit Debris Basin,CA01157,34.1683,-117.9931,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1955,82,520,152,Not Certified,Extremely High,Fair,Yes,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13144460.7575,4051920.8726,190,315,No. 32-32,Sierra Madre Villa,CA01158,34.172,-118.0787,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1958,50,906,109,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13169574.4347,4055742.6964,191,316,No. 32-33,Stough Debris Basin,CA01160,34.2004,-118.3043,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1961,46,567,67,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13168761.8024,4055096.664,192,317,No. 32-34,Lower Sunset Debris Basin,CA01161,34.1956,-118.297,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1963,86,379,37,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13185470.8579,4073145.5844,193,318,No. 32-35,Wilson Debris Basin,CA01162,34.3296,-118.4471,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1961,50,666,84,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13186828.9557,4072606.3938,194,319,No. 32-36,Schoolhouse Debris Basin,CA01172,34.3256,-118.4593,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1962,38,265,19,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13115762.5928,4047804.431,195,322,No. 32-39,Morgan Debris Basin,CA01385,34.1414,-117.8209,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,1962,37,380,21,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13122486.29,4052324.5256,196,323,No. 32-40,Morris,CA00216,34.175,-117.8813,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",GRAV,1935,245,750,27500,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13200421.0656,4080049.4954,197,324,No. 32-41,Stevenson Ranch,CA01469,34.3808,-118.5814,Los Angeles,Los Angeles County Department Of Public Works,"County, county agency, or county district",ERTH,2004,54,280,105,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13652077.6355,4571066.2106,198,331,No. 33-0,Alpine,CA00204,37.9408,-122.6387,Marin,Marin Municipal Water District,"Park, sanitation, utility, or water district",GRAV,1917,143,524,8892,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13647357.6891,4572026.0926,199,332,No. 33-2,Lagunitas,CA00205,37.9476,-122.5963,Marin,Marin Municipal Water District,"Park, sanitation, utility, or water district",ERTH,1872,48,433,341,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13645008.8479,4573113.1251,200,333,No. 33-3,Phoenix Lake,CA00206,37.9553,-122.5752,Marin,Marin Municipal Water District,"Park, sanitation, utility, or water district",ERTH,1907,90,320,612,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13648860.5023,4573423.7267,201,335,No. 33-6,Bon Tempe,CA00207,37.9575,-122.6098,Marin,Marin Municipal Water District,"Park, sanitation, utility, or water district",ERTH,1949,98,1150,4300,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13659224.3469,4579100.9051,202,336,No. 33-7,Peters,CA00208,37.9977,-122.7029,Marin,Marin Municipal Water District,"Park, sanitation, utility, or water district",ERTH,1954,230,700,32900,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13665046.3562,4590309.0482,203,337,No. 33-8,Seeger,CA00209,38.077,-122.7552,Marin,Marin Municipal Water District,"Park, sanitation, utility, or water district",ERTH,1961,115,400,22400,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13667974.0588,4600963.092,204,338,No. 33-9,Soulajule,CA01083,38.1523,-122.7815,Marin,Marin Municipal Water District,"Park, sanitation, utility, or water district",ERTH,1979,122,700,10700,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13303603.1016,4095180.0432,205,341,No. 34-2,Juncal,CA00211,34.4929,-119.5083,Santa Barbara,Montecito Water District,"Park, sanitation, utility, or water district",VARA,1930,160,430,6140,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13075854.5554,4007606.166,206,342,No. 35-0,Mathews,CA00212,33.842,-117.4624,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1938,264,6522,182000,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-12708934.3818,4069142.7075,207,343,No. 35-2,Gene Wash,CA00213,34.2999,-114.1663,San Bernardino,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",VARA,1937,140,383,6300,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-12715212.801,4066326.7166,208,344,No. 35-3,Copper Basin,CA00214,34.279,-114.2227,San Bernardino,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",VARA,1938,184,265,22000,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13171377.8104,3998241.5212,209,345,No. 35-4,Palos Verdes Reservoir,CA00215,33.7721,-118.3205,Los Angeles,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1939,82,2150,1100,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13148557.3148,4035611.8308,210,346,No. 35-6,Garvey Reservoir,CA00217,34.0507,-118.1155,Los Angeles,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1954,160,5164,1610,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13122809.1166,4020305.5463,211,347,No. 35-7,Orange County Reservoir,CA00218,33.9367,-117.8842,Orange,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1941,103,655,217,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13115940.704,4017179.681,212,349,No. 35-9,Diemer No. 8,CA00220,33.9134,-117.8225,Orange,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",RECT,1968,172,1004,18,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13115584.4816,4016844.3385,213,350,No. 35-10,Diemer Reservoir,CA00221,33.9109,-117.8193,Orange,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",RECT,1963,22,1880,80,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13111654.9036,4043568.4745,214,351,No. 35-11,Weymouth Memorial Reservoir,CA00222,34.1099,-117.784,Los Angeles,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",RECT,1966,18,2400,151,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13032206.183,3974696.2081,215,352,No. 35-12,Robert A Skinner,CA00223,33.5961,-117.0703,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1973,109,5150,43800,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13108337.5828,4047548.8841,216,353,No. 35-13,Live Oak Reservoir,CA01084,34.1395,-117.7542,Los Angeles,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1975,105,3000,2500,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13060180.7711,4018172.3524,217,354,No. 35-14,Henry J. Mills Reservoir,CA01085,33.9208,-117.3216,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1979,23,2038,83,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13033363.9057,3972063.7329,218,355,No. 35-15,Skinner Clearwell,CA01271,33.5764,-117.0807,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1991,44,1910,356,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13060403.41,4018226.0128,219,356,No. 35-16,Henry J. Mills No. 2,CA01349,33.9212,-117.3236,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1996,34,2044,92,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13059446.0624,4018480.903,220,357,No. 35-17,HJ Mills Reclamation,CA01374,33.9231,-117.315,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1996,48,1560,98,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13031738.6412,3986061.5056,221,358,No. 35-18,Diamond Valley Lake,CA01410,33.6811,-117.0661,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERRK,2000,284,8300,800000,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13032217.315,3985379.2712,222,359,No. 35-19,Diamond Valley Lake Forebay,CA01413,33.676,-117.0704,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1999,22,4482,500,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13022176.2969,3985981.2406,223,360,No. 35-20,Goodhart Canyon Detention Basin,CA01424,33.6805,-116.9802,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,1999,15,6823,1026,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13064934.1133,4006815.4353,224,361,No. 35-21,Cajalco Creek,CA01441,33.8361,-117.3643,Riverside,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",ERTH,2001,46,2287,889,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13115829.3845,4016924.8198,225,362,No. 35-22,Diemer Ozone Contact Basin,CA01492,33.9115,-117.8215,Orange,Metropolitan Water District Of Southern California,"Park, sanitation, utility, or water district",RECT,2011,32,1012,23,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13045263.9593,3947971.7417,226,364,No. 37-0,Red Mountain Reservoir,CA00225,33.3959,-117.1876,San Diego,Fallbrook Public Utility District,"Park, sanitation, utility, or water district",ERTH,1985,120,1500,1350,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13468923.6773,4676137.0638,227,365,No. 40-0,Cameron Park,CA00230,38.6814,-120.9934,El Dorado,Cameron Park Community Services District,"Park, sanitation, utility, or water district",ERTH,1951,29,1800,480,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13624882.2839,4952376.0675,228,367,No. 51-0,Anderson Cottonwood,CA00226,40.5922,-122.3944,Shasta,Anderson Cottonwood Irrigation District,"Park, sanitation, utility, or water district",FLBT,1917,24,455,1240,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13505046.8521,4729065.5273,229,368,No. 52-0,Camp Far West,CA00227,39.0516,-121.3179,Yuba,South Sutter Water District,"Park, sanitation, utility, or water district",ERRK,1963,185,2100,104500,Certified,Extremely High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13506638.7208,4727703.8317,230,369,No. 52-2,Camp Far West Diversion,CA01086,39.0421,-121.3322,Yuba,South Sutter Water District,"Park, sanitation, utility, or water district",GRAV,1977,32,244,425,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13435427.6426,4681115.0706,231,370,No. 53-0,Weber,CA00228,38.7163,-120.6925,El Dorado,El Dorado Irrigation District,"Park, sanitation, utility, or water district",MULA,1924,92,374,1100,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13437130.8308,4684739.561,232,371,No. 4468-0,Blakely,CA00229,38.7417,-120.7078,El Dorado,"Walker Land Company, LLC","Private company, corporation, LLC, partnership",ERTH,1875,19,700,152,Certified,Low,Poor,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13472608.3525,4676194.1046,233,374,No. 1469-0,New Bass Lake,CA01087,38.6818,-121.0265,El Dorado,El Dorado Hills Community Services District,"City, city agency, or city district",ERTH,1978,26,1400,745,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13476181.7081,4670092.5498,234,375,No. 53-8,El Dorado Hills,CA01176,38.639,-121.0586,El Dorado,El Dorado Irrigation District,"Park, sanitation, utility, or water district",ERTH,1980,31,2340,215,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13363337.1403,4698064.2213,235,376,No. 53-9,Echo Lake,CA00374,38.835,-120.0449,El Dorado,El Dorado Irrigation District,"Park, sanitation, utility, or water district",GRAV,1876,14,320,1900,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13423460.7973,4688893.6133,236,377,No. 53-10,El Dorado Forebay,CA00375,38.7708,-120.585,El Dorado,El Dorado Irrigation District,"Park, sanitation, utility, or water district",ERTH,1923,101.5,882,600,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13373645.3252,4701608.976,237,378,No. 53-11,Medley Lakes,CA00376,38.8598,-120.1375,El Dorado,El Dorado Irrigation District,"Park, sanitation, utility, or water district",GRAV,1923,21,92,5350,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13371853.0814,4674340.443,238,379,No. 53-12,Silver Lake,CA00377,38.6688,-120.1214,Amador,El Dorado Irrigation District,"Park, sanitation, utility, or water district",CRIB,1876,26,200,8903.8,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13363771.2863,4680016.5622,239,380,No. 53-13,Caples Lake,CA00378,38.7086,-120.0488,Alpine,El Dorado Irrigation District,"Park, sanitation, utility, or water district",ERRK,1922,71,1200,21580,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13420967.2407,4681058.0023,240,381,No. 53-14,Sly Park,CA01523,38.7159,-120.5626,El Dorado,El Dorado Irrigation District,"Park, sanitation, utility, or water district",ERTH,1955,182,760,41000,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13428214.1396,5097944.2471,241,383,No. 55-0,Big Sage,CA00233,41.5778,-120.6277,Modoc,Hot Spring Valley Water District,"Park, sanitation, utility, or water district",ERTH,1921,49,680,77000,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-12978327.5495,3894056.3371,242,384,No. 56-0,Cuyamaca,CA00234,32.9906,-116.5863,San Diego,Helix Water District,"Park, sanitation, utility, or water district",ERTH,1887,40,665,11740,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13012469.2373,3876311.9472,243,389,No. 56-9,Chet Harritt,CA00236,32.8568,-116.893,San Diego,Helix Water District,"Park, sanitation, utility, or water district",ERTH,1962,200,1117,9790,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13138093.2827,4094153.6014,244,390,No. 57-0,Littlerock,CA00237,34.4853,-118.0215,Los Angeles,Littlerock Creek Irrigation District,"Park, sanitation, utility, or water district",RCC,1924,124,576,4600,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13148112.0368,4102367.7571,245,391,No. 57-2,Harold Reservoir,CA00238,34.5461,-118.1115,Los Angeles,Palmdale Water District,"Park, sanitation, utility, or water district",ERTH,1891,30,2800,3870,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13399493.7109,4511164.4004,246,392,No. 58-0,Crocker Diversion,CA00239,37.5152,-120.3697,Merced,Merced Irrigation District,"Park, sanitation, utility, or water district",GRAV,1910,22,725,300,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13388606.6647,4521133.5502,247,393,No. 58-2,New Exchequer,CA00240,37.5862,-120.2719,Mariposa,Merced Irrigation District,"Park, sanitation, utility, or water district",ROCK,1967,479,1240,1032000,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13407241.5475,4491562.6828,248,394,No. 58-3,Lake Yosemite,CA00241,37.3754,-120.4393,Merced,Merced Irrigation District,"Park, sanitation, utility, or water district",ERTH,1888,53,4750,10323,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13392792.2776,4512315.2822,249,395,No. 58-4,McSwain,CA00242,37.5234,-120.3095,Mariposa,Merced Irrigation District,"Park, sanitation, utility, or water district",ERRK,1966,97,1600,9730,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13434114.0726,4531787.1713,250,396,No. 59-0,Modesto Reservoir,CA00243,37.662,-120.6807,Stanislaus,Modesto Irrigation District,"Park, sanitation, utility, or water district",ERTH,1911,36,1235,40000,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13622577.9705,5092484.4029,251,397,No. 60-0,Shasta River,CA00244,41.5411,-122.3737,Siskiyou,Montague Water Conservation District,"Park, sanitation, utility, or water district",HYDF,1928,96,1247,50000,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13431097.3144,4786293.4834,252,400,No. 61-2,Bowman,CA00245,39.4497,-120.6536,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ROCK,1927,177.5,400,64000,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13464548.8214,4760377.7431,253,401,No. 61-3,Deer Creek Diversion,CA00246,39.2697,-120.9541,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",VARA,1928,92,334,1400,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13418696.3231,4782156.883,254,403,No. 61-6,French Lake,CA00247,39.421,-120.5422,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ROCK,1859,100,200,13800,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13423204.7625,4796793.9784,255,404,No. 61-7,Milton Diversion,CA00248,39.5225,-120.5827,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",CORA,1928,37,286,270,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13476170.5762,4723132.7404,256,405,No. 61-9,Combie,CA00249,39.0102,-121.0585,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",VARA,1928,85,762,5555,Certified,High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13425319.8328,4785688.0208,257,406,No. 61-10,Sawmill Lake,CA00250,39.4455,-120.6017,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ROCK,1910,50,384,3040,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13420956.1088,4788441.7288,258,413,No. 61-17,Jackson Lake,CA00252,39.4646,-120.5625,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ERTH,1942,28,772,1000,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13462055.2648,4760952.924,259,414,No. 61-18,Scotts Flat,CA00253,39.2737,-120.9317,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ERTH,1948,175,980,49000,Certified,Extremely High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13419998.7611,4794918.0835,260,416,No. 61-20,Jackson Meadows,CA00254,39.5095,-120.5539,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ROCK,1965,195,1530,52500,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13464582.2172,4741271.6334,261,417,No. 61-21,Rollins,CA00255,39.1367,-120.9544,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ERRK,1965,242,1260,66000,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13421601.7618,4783309.771,262,418,No. 61-22,Faucherie,CA00256,39.429,-120.5683,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ROCK,1964,50,665,4200,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13452348.2052,4752371.7583,263,419,No. 61-23,Dutch Flat Afterbay,CA00257,39.214,-120.8445,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ERRK,1965,165,495,1300,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13451346.3298,4753808.6304,264,420,No. 61-24,Dutch Flat No. 2 Forebay,CA00258,39.224,-120.8355,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ERTH,1965,77,440,185,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13468578.5869,4753794.2607,265,421,No. 61-25,Loma Rica Airport,CA00259,39.2239,-120.9903,Nevada,Nevada Irrigation District,"Park, sanitation, utility, or water district",ERTH,1965,41,900,94,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13428503.5702,4560132.6453,266,423,No. 62-0,Goodwin,CA00260,37.8633,-120.6303,Calaveras,Tri-Dam Project,Water agency or authority,MULA,1912,101,460,500,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13443542.8334,4553761.2164,267,425,No. 62-3,Rodden Lake,CA00262,37.8181,-120.7654,Stanislaus,Oakdale Irrigation District,"Park, sanitation, utility, or water district",ERTH,1916,40,320,380,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13366832.5723,4608341.054,268,426,No. 62-4,Beardsley,CA00263,38.2044,-120.0763,Tuolumne,Tri-Dam Project,Water agency or authority,ERRK,1957,278,820,77600,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13354086.4906,4626333.6889,269,427,No. 62-5,Donnells,CA00264,38.3313,-119.9618,Tuolumne,Tri-Dam Project,Water agency or authority,VARA,1958,291,714,56893,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13425887.5622,4562163.3017,270,428,No. 62-6,Tulloch,CA00265,37.8777,-120.6068,Calaveras,Tri-Dam Project,Water agency or authority,GRAV,1958,205,1860,68400,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
