_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
1003,CA0600050,CALTRANS-MAXWELL RESTSTOPS,COLUSA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,15000,15000,,1,,,,1,N1   ,Transient-Noncommunity Water System,12/23/2015,MAXWELL,,#N/A,NR   ,Not Required
1004,CA3610131,CALTRANS-MOUNTAIN PASS JPOE,SAN BERNARDINO,NP,Non-Public,NP  ,Non-Public,A,ACTIVE, ,#N/A,   ,#N/A,,,1,1,,1,,,,1,,#N/A,,,,#N/A,,#N/A
1005,CA4500284,CALTRANS-O'BRIEN SRRA,SHASTA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,2550,2550,,1,,,,1,N1   ,Transient-Noncommunity Water System,4/7/2015,O'BRIEN,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
1006,CA5200603,CALTRANS-RED BLUFF REST-NB,TEHAMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,2600,2600,,1,,,,1,N1   ,Transient-Noncommunity Water System,4/19/2016,RED BLUFF,,#N/A,NR   ,Not Required
1007,CA5200602,CALTRANS-RED BLUFF REST-SB,TEHAMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,2500,2500,,1,,,,1,N1   ,Transient-Noncommunity Water System,4/19/2016,RED BLUFF,,#N/A,NR   ,Not Required
1008,CA5304507,CALTRANS-SALYER SAFETY REST STOP,TRINITY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,400,400,,1,,,,1,N1   ,Transient-Noncommunity Water System,10/15/2013,WILLOW CREEK,T1   ,Treatment Operator Level 1,NR   ,Not Required
1009,CA4500289,CALTRANS-SHINGLETOWN SRRA,SHASTA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,275,275,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/8/2008,SHINGLETOWN,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
1010,CA1200754,CALTRANS-TRINIDAD NB,HUMBOLDT,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,1000,1000,,1,,,,1,N1   ,Transient-Noncommunity Water System,4/16/2015,EUREKA,,#N/A,NR   ,Not Required
1011,CA4700557,CALTRANS-WEED REST STOP,SISKIYOU,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,1000,1000,,2,,,,2,N1   ,Transient-Noncommunity Water System,4/29/2015,EDGEWOOD,,#N/A,NR   ,Not Required
1012,CA3104519,CALTRANS-WHITMORE MAINT. STATION,PLACER,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,30,30,,1,,,,1,N1   ,Transient-Noncommunity Water System,8/17/2011,NEVADA CITY,,#N/A,NR   ,Not Required
1013,CA1100257,CALTRANS-WILLOWS RESTSTOP-NB,GLENN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,7500,7500,,1,,,,1,N1   ,Transient-Noncommunity Water System,12/23/2015,WILLOWS,,#N/A,D1   ,Distribution Operator Level 1
1014,CA1100258,CALTRANS-WILLOWS RESTSTOP-SB,GLENN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,S,State Government,GW ,Groundwater,,,7500,7500,,1,,,,1,N1   ,Transient-Noncommunity Water System,12/23/2015,WILLOWS,,#N/A,D1   ,Distribution Operator Level 1
1015,CA3901394,CALVA PRODUCTS CO INC,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,30,,30,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,2/14/2014,ACAMPO,,#N/A,D1   ,Distribution Operator Level 1
1016,CA1503397,CALVARY CHAPEL,KERN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,3,104,107,1,0,2,,1,4,N1   ,Transient-Noncommunity Water System,3/27/2014,TEHACHAPI,,#N/A,NR   ,Not Required
1017,CA3600595,CALVARY CHAPEL CHRISTIAN CAMP,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,1000,1000,,18,,,,18,N1   ,Transient-Noncommunity Water System,4/29/2016,GREEN VALLEY LAKE,,#N/A,,#N/A
1018,CA1300661,CALVARY CHAPEL CHURCH,IMPERIAL,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,74,,74,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,11/22/2016,,T3   ,Treatment Operator Level 3,D1   ,Distribution Operator Level 1
1019,CA3700149,CALVARY CHAPEL JULIAN,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,4,,,,4,N1   ,Transient-Noncommunity Water System,12/15/2014,JULIAN,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1020,CA5200524,CALVARY CHAPEL OF RED BLUFF,TEHAMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,40,,40,,3,,,,3,     ,#N/A,3/13/2016,RED BLUFF,,#N/A,D1   ,Distribution Operator Level 1
1021,CA5100176,CALVARY CHRISTIAN CENTER,SUTTER,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,245,,245,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,7/11/2016,YUBA CITY,,#N/A,D1   ,Distribution Operator Level 1
1022,CA2700703,CALVARY CHURCH INC WS,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,150,,150,,5,,,,5,SP   ,NonTransient-NonCommunity Water System,8/5/2016,SALINAS,,#N/A,D1   ,Distribution Operator Level 1
1023,CA2000508,CALVIN CREST CONFERENCE CENTER,MADERA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,,200,200,,1,,,,1,N1   ,Transient-Noncommunity Water System,8/4/2014,OAKHURST,,#N/A,NR   ,Not Required
1024,CA1000639,CALWEST RAIN - KERMAN,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,90,,90,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,,KERMAN,,#N/A,,#N/A
1025,CA1300682,CAMACHO'S RESTAURANT,IMPERIAL,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,,50,50,,1,,,,1,N1   ,Transient-Noncommunity Water System,3/10/2015,,T2   ,Treatment Operator Level 2,NR   ,Not Required
1026,CA0310008,CAMANCHE NORTH SHORE INC.,AMADOR,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,255,,,255,,211,,,,211,SC   ,Small Community,4/23/2018,VALLEY SPRINGS,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
1027,CA0510012,CAMANCHE SOUTH SHORE-EBMUD,CALAVERAS,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,180,,,180,,448,,,,448,SC   ,Small Community,10/22/2015,"VALLEY SPRINGS,",T3   ,Treatment Operator Level 3,D2   ,Distribution Operator Level 2
1028,CA5610019,CAMARILLO WATER DEPT,VENTURA,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,47913,,,47913,,,,,13486,13486,C1   ,Large Water System,2/26/2015,CAMARILLO,T2   ,Treatment Operator Level 2,D4   ,Distribution Operator Level 4
1029,CA4010014,CAMBRIA COMM SERVICES DIST,SAN LUIS OBISPO,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,6032,,,6032,,4028,,,,4028,C1   ,Large Water System,4/28/2016,CAMBRIA,T3   ,Treatment Operator Level 3,D2   ,Distribution Operator Level 2
1030,CA4200930,CAMBRIA WINERY,SANTA BARBARA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,2,,,,2,N1   ,Transient-Noncommunity Water System,3/17/2016,SANTA MARIA,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1031,CA1000238,CAMDEN TRAILER PARK,FRESNO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,,,,25,25,SC   ,Small Community,3/13/2017,RIVERDALE,,#N/A,D1   ,Distribution Operator Level 1
1032,CA3701380,CAMERON CORNERS,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,3,,,,3,N1   ,Transient-Noncommunity Water System,12/4/2013,CAMPO,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1033,CA3700055,CAMERON FIRE STATION,SAN DIEGO,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,15,15,,5,,,,5,XS   ,State Small Water System,,PINE VALLEY,,#N/A,NR   ,Not Required
1034,CA0707598,CAMINO MOBILEHOME,CONTRA COSTA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,210,,,210,,75,,,,75,SC   ,Small Community,3/12/2018,BYRON,,#N/A,,#N/A
1035,CA3600771,CAMP ALANDALE,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,9/17/2015,BARTON FLATS,,#N/A,,#N/A
1036,CA3600063,CAMP ANGELUS TR LAND ASSN,SAN BERNARDINO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,15,,,15,,30,,,,30,,#N/A,6/23/2014,ANGELUS OAKS,,#N/A,,#N/A
1037,CA2600528,CAMP ANTELOPE,MONO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,40,40,,37,,,,37,SC   ,Small Community,8/14/2014,COLEVILLE,T2   ,Treatment Operator Level 2,NR   ,Not Required
1038,CA1502524,CAMP AREV,KERN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,300,300,,0,5,0,,5,N1   ,Transient-Noncommunity Water System,10/27/2017,FRAZIER PARK,,#N/A,NR   ,Not Required
1039,CA2902376,CAMP AUGUSTA,NEVADA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,,,150,150,,10,,,,10,N1   ,Transient-Noncommunity Water System,6/24/2015,NEVADA CITY,,#N/A,NR   ,Not Required
1040,CA2800115,CAMP BERRYESSA,NAPA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,,#N/A,2/3/2016,NAPA,,#N/A,,#N/A
1041,CA1900893,CAMP BLOOMFIELD,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,160,160,,16,,,,16,N1   ,Transient-Noncommunity Water System,3/23/2017,MALIBU,,#N/A,D1   ,Distribution Operator Level 1
1042,CA2900621,CAMP BOUNTIFUL,NEVADA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,400,400,,10,,,,10,N1   ,Transient-Noncommunity Water System,6/24/2016,NORTH SAN JUAN,,#N/A,NR   ,Not Required
1043,CA4901110,CAMP CAZADERO,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GU ,Groundwater UDI Surface Water,6,,160,166,,10,,,,10,N1   ,Transient-Noncommunity Water System,8/31/2011,CAZADERO,T2   ,Treatment Operator Level 2,NR   ,Not Required
1044,CA3600593,CAMP CEDAR CREST,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,300,300,,1,,,,1,N1   ,Transient-Noncommunity Water System,4/11/2018,RUNNING SPRINGS,,#N/A,,#N/A
1045,CA3600538,CAMP CEDAR FALLS,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,8,1,500,509,,,1,,,1,N1   ,Transient-Noncommunity Water System,12/5/2016,ANGELUS OAKS,T2   ,Treatment Operator Level 2,NR   ,Not Required
1046,CA3702530,CAMP CEDAR GLEN,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,18,,,,18,N1   ,Transient-Noncommunity Water System,6/27/2014,JULIAN,,#N/A,NR   ,Not Required
1047,CA4400711,CAMP CHESEBROUGH,SANTA CRUZ,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,1,,,,1,,#N/A,3/7/2017,LOS GATOS,,#N/A,NR   ,Not Required
1048,CA2203021,CAMP CHILNUALNA WATER SYSTEM,MARIPOSA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,28,28,,12,,,,12,N1   ,Transient-Noncommunity Water System,10/24/2013,WAWONA,,#N/A,NR   ,Not Required
1049,CA0900206,CAMP CHIQUITA CAMPGROUND (HEALTH),EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,44,,,,44,N1   ,Transient-Noncommunity Water System,9/18/2013,,,#N/A,NR   ,Not Required
1050,CA1900631,CAMP CISQUITO / LIVE AGAIN RECOVERY HOME,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,27,27,,11,,,,11,N1   ,Transient-Noncommunity Water System,1/11/2018,,,#N/A,D1   ,Distribution Operator Level 1
1051,CA0900631,CAMP CONCORD,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,100,100,,10,,,,10,N1   ,Transient-Noncommunity Water System,6/15/2015,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
1052,CA4700828,CAMP CREEK CAMPGROUND-PP&L,SISKIYOU,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,1,,,,1,N1   ,Transient-Noncommunity Water System,9/16/2013,MT SHASTA,,#N/A,NR   ,Not Required
1053,CA3200095,CAMP CROMBERG / COMMUNITY OF CHRIST,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,80,80,,1,,,,1,DD   ,Dead and Done (not active),,CROMBERG,,#N/A,,#N/A
1054,CA3700880,CAMP DENVER FOX,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,200,200,,20,,,,20,N1   ,Transient-Noncommunity Water System,7/12/2012,SANTA YSABEL,,#N/A,NR   ,Not Required
1055,CA1502073,CAMP EL CAMINO PINES,KERN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,8,,200,208,,0,21,0,2,23,N1   ,Transient-Noncommunity Water System,8/12/2014,FRAZIER PARK,,#N/A,NR   ,Not Required
1056,CA1900080,CAMP ELK,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,120,120,,17,,,,17,N1   ,Transient-Noncommunity Water System,1/18/2018,WRIGHTWOOD,,#N/A,D1   ,Distribution Operator Level 1
1057,CA5800801,CAMP FAR WEST RESORT,YUBA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,,4006,4006,,66,,,,66,N1   ,Transient-Noncommunity Water System,7/31/2017,WHEATLAND,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
1058,CA0900401,CAMP FLEMING  --- CAMPGROUND,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,240,240,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/25/2015,SOMERSET,,#N/A,NR   ,Not Required
1059,CA0900100,CAMP FLEMING --- LODGE,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,2,,,,2,,#N/A,6/25/2015,SOMERSET,,#N/A,NR   ,Not Required
1060,CA3302072,CAMP FREMONT,RIVERSIDE,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,22,,22,,13,,,,13,XS   ,State Small Water System,,MECCA,,#N/A,,#N/A
1061,CA1000170,CAMP FRESNO WATER SYSTEM,FRESNO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,440,440,,55,,,,55,N1   ,Transient-Noncommunity Water System,11/22/2013,DINKEY CREEK,,#N/A,NR   ,Not Required
1062,CA3600600,CAMP GILBOA,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,300,300,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/5/2017,BIG BEAR LAKE,,#N/A,,#N/A
1063,CA4400706,CAMP HAMMER,SANTA CRUZ,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,,324,324,,4,,,,4,N1   ,Transient-Noncommunity Water System,10/11/2016,BOULDER CREEK,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1064,CA3601139,CAMP HEART BAR EQUESTRIAN GROUP,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,,100,100,,4,,,,4,N1   ,Transient-Noncommunity Water System,6/4/2018,ANGELES OAKS,,#N/A,,#N/A
1065,CA1900559,CAMP HILLEL HOUSE,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,320,320,,2,,,,2,N1   ,Transient-Noncommunity Water System,12/21/2017,,,#N/A,D1   ,Distribution Operator Level 1
1066,CA5500151,CAMP JACK HAZARD,TUOLUMNE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,190,190,,3,,,,3,N1   ,Transient-Noncommunity Water System,9/29/2017,,,#N/A,NR   ,Not Required
1067,CA3301097,CAMP JOE SCHERMAN,RIVERSIDE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,101,101,,35,,,,35,N1   ,Transient-Noncommunity Water System,10/2/2014,MOUNTAIN CENTER,,#N/A,NR   ,Not Required
1068,CA5500219,CAMP JOHN MENSINGER,TUOLUMNE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GU ,Groundwater UDI Surface Water,,,300,300,,20,,,,20,N1   ,Transient-Noncommunity Water System,9/13/2016,TWAIN HARTE,T2   ,Treatment Operator Level 2,,#N/A
1069,CA4100538,CAMP JONES GULCH,SAN MATEO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,44,13,300,357,,40,,,25,65,SC   ,Small Community,6/15/2016,LOMA MAR,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1070,CA1900603,CAMP JOSEPHO-BSA WATER,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,300,300,,4,,,,4,N1   ,Transient-Noncommunity Water System,6/14/2017,PACIFIC PALISADES,,#N/A,D1   ,Distribution Operator Level 1
1071,CA3600536,CAMP LA VERNE,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,7/25/2017,ANGELUS OAKS,,#N/A,,#N/A
1072,CA1502042,CAMP LAKOTA WATER SYSTEM,KERN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,2,1,255,258,,,11,,,11,N1   ,Transient-Noncommunity Water System,6/4/2014,FRAZIER PARK,,#N/A,NR   ,Not Required
1073,CA3200157,CAMP LAYMAN RESORT,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,20,20,,5,,,,5,,#N/A,,BLAIRSDEN,,#N/A,,#N/A
1074,CA4600005,"CAMP LEONARD, SIERRA NV F.C.",SIERRA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,40,40,,1,,,,1,N1   ,Transient-Noncommunity Water System,9/29/2017,SIERRAVILLE,,#N/A,NR   ,Not Required
1075,CA0202547,CAMP LIAHONA,ALPINE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,8,,,,8,N1   ,Transient-Noncommunity Water System,8/1/2017,TWAIN HARTE,,#N/A,NR   ,Not Required
1076,CA4901109,CAMP LIAHONA REDWOODS,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,14,,,,14,N1   ,Transient-Noncommunity Water System,9/17/2002,ANNAPOLIS,TD   ,Treatment or distribution operator of any grade,NR   ,Not Required
1077,CA3700118,CAMP LOCKETT MIDDLE SCHOOL,SAN DIEGO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,150,,150,,3,,,,3,N1   ,Transient-Noncommunity Water System,6/7/2016,CAMPO,,#N/A,NR   ,Not Required
1078,CA0500026,CAMP LODESTAR,CALAVERAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,15,,,,15,N1   ,Transient-Noncommunity Water System,6/14/2017,WILSEYVILLE,,#N/A,NR   ,Not Required
1079,CA4100529,CAMP LOMA MAR,SAN MATEO,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,20,6,150,176,,16,,,5,21,SC   ,Small Community,5/11/2017,LOMA MAR,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1080,CA0900205,CAMP LOTUS STORE,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,1000,1000,,6,,,,6,N1   ,Transient-Noncommunity Water System,6/16/2015,LOTUS,,#N/A,NR   ,Not Required
1081,CA0500064,CAMP MADONNA OF PEACE,CALAVERAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,70,70,,8,,,,8,N1   ,Transient-Noncommunity Water System,6/26/2017,COPPEROPOLIS,,#N/A,NR   ,Not Required
1082,CA3301099,CAMP MARANATHA,RIVERSIDE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,30,30,,15,,,,15,N1   ,Transient-Noncommunity Water System,1/30/2014,IDYLLWILD,,#N/A,NR   ,Not Required
1083,CA5500031,CAMP MATHER,TUOLUMNE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,,,500,500,,15,,,,15,N1   ,Transient-Noncommunity Water System,5/23/2016,GROVELAND,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1084,CA4910029,CAMP MEEKER WATER SYSTEM,SONOMA,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,1168,,,1368,,354,,,,354,SC   ,Small Community,7/13/2016,CAMP MEEKER,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1085,CA2300839,CAMP MENDOCINO,MENDOCINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,SW ,Surface Water,5,,275,280,,30,,,,30,N1   ,Transient-Noncommunity Water System,5/21/2018,FORT BRAGG,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1086,CA0500022,CAMP MENZIES,CALAVERAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,18,,,,18,N1   ,Transient-Noncommunity Water System,6/5/2018,CAMP CONNELL,,#N/A,NR   ,Not Required
1087,CA3601141,CAMP MORNING STAR,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,150,150,,6,,,,6,N1   ,Transient-Noncommunity Water System,6/7/2017,ANGELUS OAKS,,#N/A,,#N/A
1088,CA2300873,CAMP NAVARRO,MENDOCINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GU ,Groundwater UDI Surface Water,3,,276,279,,19,,,,19,N1   ,Transient-Noncommunity Water System,3/12/2015,NAVARRO,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
1089,CA5410022,CAMP NELSON WATER COMPANY,TULARE,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,112,,,112,,300,,,,300,SC   ,Small Community,8/27/2015,CAMP NELSON,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
1090,CA3600591,CAMP OAKES,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,300,300,,1,,,,1,N1   ,Transient-Noncommunity Water System,5/22/2017,BIG BEAR,,#N/A,,#N/A
1091,CA0400164,CAMP OKIZU,BUTTE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,11,,,,11,N1   ,Transient-Noncommunity Water System,7/7/2015,BERRY CREEK,,#N/A,NR   ,Not Required
1092,CA3702459,CAMP OLIVER,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,72,72,,9,,,,9,N1   ,Transient-Noncommunity Water System,5/28/2014,DESCANSO,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
1093,CA3600587,CAMP OSITO RANCHO,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,200,200,,1,,,,1,N1   ,Transient-Noncommunity Water System,7/28/2016,BIG BEAR LAKE,,#N/A,,#N/A
